Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
CREDIT_I_BVRDOLJAK			Beatrice Vrdoljak	Beatrice Vrdoljak	Beatrice Vrdoljak	Beatrice Vrdoljak	Beatrice Vrdoljak
CREDIT_I_ADMIN			Administrative Support	Administrative Support	Administrative Support	Administrative Support	Administrative Support
CREDIT_I_CCIAMPI			Claire Ciampi	Claire Ciampi	Claire Ciampi	Claire Ciampi	Claire Ciampi
CREDIT_I_NRIGOT			Noëlle Rigot	Noëlle Rigot	Noëlle Rigot	Noëlle Rigot	Noëlle Rigot
CREDIT_I_YALONSO			Yolanda Alonso	Yolanda Alonso	Yolanda Alonso	Yolanda Alonso	Yolanda Alonso
CREDIT_I_SFTM			Software Functionality Testing Manager	Software Functionality Testing Manager	Software Functionality Testing Manager	Software Functionality Testing Manager	Software Functionality Testing Manager
CREDIT_I_OROBIN			Olivier Robin	Olivier Robin	Olivier Robin	Olivier Robin	Olivier Robin
CREDIT_I_GESM			Gameplay Evaluation Service Manager	Gameplay Evaluation Service Manager	Gameplay Evaluation Service Manager	Gameplay Evaluation Service Manager	Gameplay Evaluation Service Manager
CREDIT_I_DMOREL			Dominique Morel	Dominique Morel	Dominique Morel	Dominique Morel	Dominique Morel
CREDIT_I_GESC			Gameplay Evaluation Service Co-ordination	Gameplay Evaluation Service Co-ordination	Gameplay Evaluation Service Co-ordination	Gameplay Evaluation Service Co-ordination	Gameplay Evaluation Service Co-ordination
CREDIT_I_ECHOLLEY			Emmanuel Cholley	Emmanuel Cholley	Emmanuel Cholley	Emmanuel Cholley	Emmanuel Cholley
CREDIT_I_JLAPASSET			Jean-Yves Lapasset	Jean-Yves Lapasset	Jean-Yves Lapasset	Jean-Yves Lapasset	Jean-Yves Lapasset
CREDIT_I_SFTS			Software Functionality Testing Supervisor	Software Functionality Testing Supervisor	Software Functionality Testing Supervisor	Software Functionality Testing Supervisor	Software Functionality Testing Supervisor
CREDIT_I_VLALOY			Vincent Laloy	Vincent Laloy	Vincent Laloy	Vincent Laloy	Vincent Laloy
CREDIT_I_SFTC			Software Functionality Testing Co-ordination	Software Functionality Testing Co-ordination	Software Functionality Testing Co-ordination	Software Functionality Testing Co-ordination	Software Functionality Testing Co-ordination
CREDIT_I_JBOEVE			Johann Boeve	Johann Boeve	Johann Boeve	Johann Boeve	Johann Boeve
CREDIT_I_ESS			Engineering Services Supervisor	Engineering Services Supervisor	Engineering Services Supervisor	Engineering Services Supervisor	Engineering Services Supervisor
CREDIT_I_PLOUVET			Philippe Louvet	Philippe Louvet	Philippe Louvet	Philippe Louvet	Philippe Louvet
CREDIT_I_PRE_MASTERING			Pre-mastering	Pre-mastering	Pre-mastering	Pre-mastering	Pre-mastering
CREDIT_I_SENTERIC			Stéphane Enteric	Stéphane Enteric	Stéphane Enteric	Stéphane Enteric	Stéphane Enteric
CREDIT_I_TESTERS			Testers	Testers	Testers	Testers	Testers
CREDIT_I_SBRAHIMI			Sabrina Brahimi	Sabrina Brahimi	Sabrina Brahimi	Sabrina Brahimi	Sabrina Brahimi
CREDIT_I_SBREUIL			Stéphane Breuil	Stéphane Breuil	Stéphane Breuil	Stéphane Breuil	Stéphane Breuil
CREDIT_I_EALVAREZ			Elvis Alvarez	Elvis Alvarez	Elvis Alvarez	Elvis Alvarez	Elvis Alvarez
CREDIT_I_SCARANZAN			Serge Caranzan	Serge Caranzan	Serge Caranzan	Serge Caranzan	Serge Caranzan
CREDIT_I_LOCALISATION			Localization Support Group Manager	Localization Support Group Manager	Localization Support Group Manager	Localization Support Group Manager	Localization Support Group Manager
CREDIT_I_SPIVOTCHOSSAT			Sylviane Pivot-Chossat	Sylviane Pivot-Chossat	Sylviane Pivot-Chossat	Sylviane Pivot-Chossat	Sylviane Pivot-Chossat
CREDIT_I_LOCALISATION_PM			Localization Project Manager	Localization Project Manager	Localization Project Manager	Localization Project Manager	Localization Project Manager
CREDIT_I_KVALLET			Karine Vallet	Karine Vallet	Karine Vallet	Karine Vallet	Karine Vallet
CREDIT_I_TRANSLATION_PM			Translation Project Manager	Translation Project Manager	Translation Project Manager	Translation Project Manager	Translation Project Manager
CREDIT_I_CBARBONE			Claudia Barbone	Claudia Barbone	Claudia Barbone	Claudia Barbone	Claudia Barbone
CREDIT_I_BVREITER			Beate Vigliano Reiter	Beate Vigliano Reiter	Beate Vigliano Reiter	Beate Vigliano Reiter	Beate Vigliano Reiter
CREDIT_I_LOCALISATION_TECH			Localization Technical Consultant	Localization Technical Consultant	Localization Technical Consultant	Localization Technical Consultant	Localization Technical Consultant
CREDIT_I_FROSET			Fabien Roset	Fabien Roset	Fabien Roset	Fabien Roset	Fabien Roset
CREDIT_I_BPIVANO			Bruno Pivano 	Bruno Pivano 	Bruno Pivano 	Bruno Pivano 	Bruno Pivano 
CREDIT_I_TRANSLATION_REC			Translation & Recordings	Translation & Recordings	Translation & Recordings	Translation & Recordings	Translation & Recordings
CREDIT_I_KBP			KBP	KBP	KBP	KBP	KBP
CREDIT_I_SYNTHESIS			Synthesis	Synthesis	Synthesis	Synthesis	Synthesis
CREDIT_I_LOCALISATION_TEST			Localization Testing Company	Localization Testing Company	Localization Testing Company	Localization Testing Company	Localization Testing Company
CREDIT_I_BABEL_MEDIA			Babel Media Limited	Babel Media Limited	Babel Media Limited	Babel Media Limited	Babel Media Limited
CREDIT_I_SBENNETT			Sarah Bennett	Sarah Bennett	Sarah Bennett	Sarah Bennett	Sarah Bennett
CREDIT_I_KGLOVER			Kerry Glover	Kerry Glover	Kerry Glover	Kerry Glover	Kerry Glover
CREDIT_I_CPSG			Certification & Planning Support Group (CPSG)	Certification & Planning Support Group (CPSG)	Certification & Planning Support Group (CPSG)	Certification & Planning Support Group (CPSG)	Certification & Planning Support Group (CPSG)
CREDIT_I_RPERNERED			Rebecka Pernered	Rebecka Pernered	Rebecka Pernered	Rebecka Pernered	Rebecka Pernered
CREDIT_I_EBALLIVY			Émilie Ballivy	Émilie Ballivy	Émilie Ballivy	Émilie Ballivy	Émilie Ballivy
CREDIT_I_CFAUCHILLE			Caroline Fauchille	Caroline Fauchille	Caroline Fauchille	Caroline Fauchille	Caroline Fauchille
CREDIT_I_JDITULLIO			Jérôme Di Tullio	Jérôme Di Tullio	Jérôme Di Tullio	Jérôme Di Tullio	Jérôme Di Tullio
CREDIT_I_THANKS			Special Thanks to	Special Thanks to	Special Thanks to	Special Thanks to	Special Thanks to
CREDIT_I_RCOURTOIS			Richard Courtois	Richard Courtois	Richard Courtois	Richard Courtois	Richard Courtois
CREDIT_I_DPAINE			Dawn Paine	Dawn Paine	Dawn Paine	Dawn Paine	Dawn Paine
CREDIT_I_RGONNARD			Regis Gonnard	Regis Gonnard	Regis Gonnard	Regis Gonnard	Regis Gonnard
CREDIT_I_EBAPTIZAT			Eric Baptizat	Eric Baptizat	Eric Baptizat	Eric Baptizat	Eric Baptizat
CREDIT_I_PCROOKS			Pierre Crooks	Pierre Crooks	Pierre Crooks	Pierre Crooks	Pierre Crooks
CREDIT_I_JCLARK			Jenny Clark	Jenny Clark	Jenny Clark	Jenny Clark	Jenny Clark
CREDIT_I_RMATHON			Rose May Mathon	Rose May Mathon	Rose May Mathon	Rose May Mathon	Rose May Mathon
CREDIT_I_ABREAS			Alexandre Breas	Alexandre Breas	Alexandre Breas	Alexandre Breas	Alexandre Breas
CREDIT_I_EBAESA			Eric Baesa	Eric Baesa	Eric Baesa	Eric Baesa	Eric Baesa
CREDIT_I_NBALTZER			Neil Baltzer	Neil Baltzer	Neil Baltzer	Neil Baltzer	Neil Baltzer
CREDIT_LEGAL_1			© 2002 Infogrames	© 2002 Infogrames	© 2002 Infogrames	© 2002 Infogrames	© 2002 Infogrames
CREDIT_LEGAL_2			Developed by Blitz Games	Developed by Blitz Games	Developed by Blitz Games	Developed by Blitz Games	Developed by Blitz Games
CREDIT_LEGAL_3			"LOONEY TUNES, characters, names and all related \nindicia are trademarks of and © Warner Bros. \n(s02)"	"LOONEY TUNES, characters, names and all related \nindicia are trademarks of and © Warner Bros. \n(s02)"	"LOONEY TUNES, characters, names and all related \nindicia are trademarks of and © Warner Bros. \n(s02)"	"LOONEY TUNES, characters, names and all related \nindicia are trademarks of and © Warner Bros. \n(s02)"	"LOONEY TUNES, characters, names and all related \nindicia are trademarks of and © Warner Bros. \n(s02)"
CREDIT_LEGAL_4			Software Routine and Tools © Blitz Games Ltd 1996-2002	Software Routine and Tools © Blitz Games Ltd 1996-2002	Software Routine and Tools © Blitz Games Ltd 1996-2002	Software Routine and Tools © Blitz Games Ltd 1996-2002	Software Routine and Tools © Blitz Games Ltd 1996-2002
PLANET_X_INTRO	On-screen text for when the player goes to Planet X - a level warp screen. The text is an oblique reference to the opening of Star Wars.	s	"Meanwhile, in a galaxy far, far away..."	"Pendant ce temps, dans une lointaine galaxie..."	"Zur gleichen Zeit, in einer weit, weit entfernten Galaxis..."	"Mientras tanto, en una galaxia muy, muy lejana..."	"Nel frattempo, in una galassia lontana..."
HUB_DIFFICULTY_LEVEL	"Each of our levels has a ""difficulty rating"" from one to three stars."	s	Rating:	Classement :	Schwierigkeitsgrad:	Categoría:	Livello:
SAFARI_HINT1_MEDIUM	Clue about the poster in the zookeepers hut. Taz needs to spin through the window to get it.	s	You'll be in for a smashing good time if you solve this one.	Vous allez pouvoir casser la baraque si vous parvenez à résoudre ce problème.	Scherben bringen Glück!	"No te cortes, verás que cuando lo resuelvas estará claro como la ventana."	"Quando lo avrai risolto, tutto sarà chiaro come la finestra."
SAFARI_HINT1_EASY	Clue about the poster in the zookeepers hut. Taz needs to spin through the window to get it.	s	Taz doesn't need to use the door to enter this hut.	Taz n'a pas besoin d'ouvrir la porte pour entrer dans cette hutte.	"Taz braucht keine Tür, um in die Hütte zu gelangen."	Taz no necesita de puertas para entrar en esta cabaña.	Taz non ha bisogno della porta per entrare nel gabbiotto.
SAFARI_HINT2_MEDIUM	Clue about the zookeepers van perched on the cliff like the bus in the Italian Job. Taz can use the monkeys to swing up there.	s	Don't be afraid to monkey around.	N'hésitez pas à faire le singe.	Üb dich im Nachäffen.	No tengas miedo de hacer el mono.	Non aver paura di farti scimmiottare in giro.
SAFARI_HINT2_EASY	Clue about the zookeepers van perched on the cliff like the bus in the Italian Job. Taz can use the monkeys to swing up there.	s	You'll need some simian help to get to the top.	Vous aurez besoin de l'aide des singes pour arriver en haut.	"Du brauchst ein wenig äffische Hilfe, um nach oben zu gelangen."	Te hará falta un poco de ayuda simia para llegar a lo más alto.	Avrai bisogno dell'aiuto di una scimmia per raggiungere la cima.
SAFARI_HINT3_MEDIUM	Clue about a poster behind the waterfall.	s	You'll have to be nimble footed to avoid a soaking here.	Il va falloir avoir le pied léger pour éviter de finir trempé.	"Man muss schon sehr leichtfüßig sein, um hier nicht durchnässt zu werden."	Un paso ligero te evitará ponerte a remojo.	Dovrai muoverti con leggerezza per evitare di affondare.
SAFARI_HINT3_EASY	Clue about a poster behind the waterfall.	s	"The logs and lilies are your friends on this one, but watch out for the crocs!"	"Les rondins et les nénuphars sont vos amis, mais attention aux crocos !"	"Baumstämme und Seerosen sind deine Freunde, aber Vorsicht vor den Krokos!"	"Troncos y nenúfares son tus aliados ahora, pero cuidadito con los cocod..."	"I tronchi e le ninfee saranno tuoi alleati,  fai però attenzione ai coccodrilli!"
SAFARI_HINT4_MEDIUM	Clue about the poster on the satellite dish on the elevated guard tower. Taz needs to destroy the supports to unbalance it.	s	"This is well guarded, but that's no support."	"C'est bien gardé, mais mal étayé."	"Gut bewacht, aber schlecht gestützt."	"Estará bien guardado, pero eso no es de ningún apoyo."	"La sorveglianza è elevata, ma non alle fondamenta."
SAFARI_HINT4_EASY	Clue about the poster on the satellite dish on the elevated guard tower. Taz needs to destroy the supports to unbalance it.	s	The supports that hold that tower up don't look too safe! Timber!	Le pied de cette tour n'a pas l'air très solide !	Die Stützen dieses Turms sehen etwas wacklig aus!	Los apoyos que mantienen la torre en pie no parecen muy seguros...	I sostegni della torre non sembrano dei più solidi!
SAFARI_HINT5_MEDIUM	Clue about the poster on a cork jammed in the end of a large hollow tree trunk. Taz needs to spin through the trunk to hit the cork and force it out like a champagne cork.	s	You'll have to shake up the tree to pop the cork.	Il faut secouer l'arbre pour faire sauter le bouchon.	"Schüttle den Baum, damit der Korken herausfliegt."	Tendrás que agitar el árbol para hacer saltar el corcho.	Scuoti l'albero per stappare il tappo.
SAFARI_HINT5_EASY	Clue about the poster on a cork jammed in the end of a large hollow tree trunk. Taz needs to spin through the trunk to hit the cork and force it out like a champagne cork.	s	You'll need a good spin to pop this cork.	Un bon tourbillon devrait faire sauter le bouchon.	"Ein tüchtiger Wirbel, und der Korken ist heraus."	Para sacar este corcho te hará falta un buen tornado.	Una bella piroetta per una bella stappata.
SAFARI_HINT6_MEDIUM	Clue about the poster on a beehive guarded by bears. Taz has to use a super burp can that's in a circus-style cage trailer.	s	You'll need 'bear faced' cheek to solve this puzzle.	Des manières d'ours sont requises pour résoudre cette énigme.	"Du brauchst einen Bärendurst, um dieses Rätsel zu lösen."	Para resolver este enigma tendrás que ser bastante osa-do.	Ti servirà un tatto da orso per uscire da questo impiccio.
SAFARI_HINT6_EASY	Clue about the poster on a beehive guarded by bears. Taz has to use a super burp can that's in a circus-style cage trailer.	s	Even the solution is caged in this world! Take a look around.	Même la solution est en cage !	In dieser Welt sitzt selbst des Rätsels Lösung hinter Gittern! Sieh dich um!	¡A veces hasta la solución se encuentra enjaulada!	In questo mondo anche la soluzione si trova in una gabbia! Dai un'occhiata in giro.
SAFARI_HINT7_MEDIUM	Clue about the poster on the trunk of a large tree stump. Taz can get there by bouncing up the cliff on some springy branches. Once there he needs to spin through the tree to destroy it.	s	You might just have to branch out to find this one.	Il faut savoir trouver sa branche dans la vie.	"Ein paar Verästelungen, und auch das ist gelöst."	Prueba a ramificar la cuestión para llegar a la solución.	"Se vuoi raggiungere la meta, dovrai saltare di palo in frasca."
SAFARI_HINT7_EASY	Clue about the poster on the trunk of a large tree stump. Taz can get there by bouncing up the cliff on some springy branches. Once there he needs to spin through the tree to destroy it.	s	"When you get to the top, spin to win!"	"Quand on est au sommet, y'a plus qu'à faire la tornade."	"Bist du oben angelangt, gilt das Motto: Wer wirbelt, gewinnt!"	"¡Cuando llegues arriba, un tornado te hará ganar!"	"Quando sei in cima, ruota su te stesso per vincere!"
ICEDOME_HINT2_MEDIUM	Clue about the poster in an ice cave behind the frozen waterfall.	s	You won't get wet when tunneling for this one.	Vous ne risquez pas de vous mouiller en creusant.	"Um diese Antwort auszugraben, brauchst du dich nicht nasszumachen."	No tienes que mojarte para pasar por el túnel que te interesa.	"Non correrai il rischio di bagnarti, non temere!"
ICEDOME_HINT2_EASY	Clue about the poster in an ice cave behind the frozen waterfall.	s	Check out where the water is frozen in time for the entrance to this puzzle.	L'eau gelée devrait vous mettre sur la voie.	Du findest die Lösung dieses Rätsels hinter gefrorenem Wasser.	Investiga en torno al agua congelada para descubrir el acceso a este enigma.	Cerca di entrare da dove l'acqua ha smesso di scorrere.
ICEDOME_HINT3_MEDIUM	Clue about the wanted poster at the ski lift station. Taz needs to follow the power cord to the control dial and then spin into that to cause the chain reaction that will destroy it.	s	This puzzle is electrifying. Just turn the dial to 11!	L'atmosphère de cette énigme est vraiment électrique !	Dieses Rätsel knistert vor Spannung.	Este enigma es electrificante. ¡A las 11 una gran sorpresa!	Un ostacolo elettrizzante... Fai in modo che scocchino le ore 11!
ICEDOME_HINT3_EASY	Clue about the wanted poster at the ski lift station. Taz needs to follow the power cord to the control dial and then spin into that to cause the chain reaction that will destroy it.	s	One spin of the dial is all it takes to see the destruction of this poster. 	Il suffit de faire tourbillonner le cadran pour détruire cette affiche.	"Einmal an der Scheibe gedreht, und dieses Poster ist zerstört."	Sólo hace falta un buen giro del dial para ver destruido este cartel.	Una giravolta al posto giusto per distruggere il poster. 
ICEDOME_HINT4_MEDIUM	Clue about the poster on the star on top of the Christmas tree. Taz has to go through the Christmas village and spin up hill to hit it.	s	"It's a long, hard road to the top."	La voie menant au sommet est semée d'embûches.	"Es ist ein langer, harter Weg bis nach ganz oben."	Es un camino largo y difícil hasta la cima.	La via alla vetta non è delle più facili.
ICEDOME_HINT4_EASY	Clue about the poster on the star on top of the Christmas tree. Taz has to go through the Christmas village and spin up hill to hit it.	s	Take a spin from the top to make your Christmas day.	Une tornade au sommet et c'est \nNoël !	"Ein kleiner Wirbel vom Gipfel herunter, weil Weihnachten ist."	Haz un tornado desde arriba y tendrás un día de Navidad más alegre.	Un tornado sulla cima per una bella nevicata natalizia.
